2026-02-25 17:31:54 | INFO     | WebSocketClient | Sent subscribe message for tokens: ['2527312495175492857904889758552137141356236738032676480522356889996545113869', '29795694034265723490033787182308468787841029434655005675103532957362215624118', '113986535796979667881343578136233214314046875572537928011560696181398389868764', '110513468504414111967623727967802735681305040958967125800368195228103949451183', '36160875054349860297241932396729439694013343352900043316198670668357407504633', '10360574034610259365825582633190111659383248210003248977260045000073129477814', '4274339277583331170231436480507835882687434608350779078862983050349942696879', '46392352440640691691403913163796829338832584619874037984805155658143745393622', '98022490269692409998126496127597032490334070080325855126491859374983463996227', '22727676348515372003751667928661129938953357934816532759741382381194930135311', '90435811253665578014957380826505992530054077692143838383981805324273750424057', '77166477669007661974218999697956080000161736671391584414287437514245884953047', '78453865954536643710017153843673830010373935401063241006664722462398084283536', '55230883696690777055093667580992529716053651794118931424366317904049903435707', '31737648224640860538361785861700072557227859645060732743904381890720199497279', '91598277451888833943457869299081344513189737907823485218592748863763321112699', '98243235802256277307355151946200594769978374926029806468282956710218078263468', '94376205816022955542979635542279932967359915765455578534002478996104754801969', '50221315964000194764695024582522009520159992363520263771661265416131198909217', '92557339599379991257792137259949406096653890374419429974555855496093508422916', '56943889421369223313864561268386407584816988844238380390936659020238520433523', '40694415003591202786878279287884766002429923551809555441858630935269489320071', '89520848256403305974323485459854822913782396273578152633149755590292693577933', '57160884655103428512814247631012981773015723019889832549493437551469480061242', '53831658761992660262271167425488866803302305236549476786294052519241195037228', '105267568073659068217311993901927962476298440625043565106676088842803600775810', '112714625848806997860636208910706390701734645675692256752104712853008653142537', '87036266705700330884624690101790543034325645582506946990660049003915176778714', '48266425622404486484896353767723266081505997963592758694068789352158715350186', '28946595841244317705636126646676849578876740730186646421280828201004700559420', '110303218457795832861589414223072133732424840017074962598980991451216787898529', '49090268393791569424317269381401319067383973218195824239464904477008632274751', '15540133404064485946536607974212890170021691204987131841181394872998839987451', '113505976183184081887469552604570721227802596386749270798093363567289365382437', '37281046158137671889895383499164526727881692321679587626659940834369685019496', '109439459397675447272341488571573598040211823291452380402543262182060250075424', '40689385937970031985272152180777653235879119412231903065658922913468759560353', '6072714739533147140307902291188757966105333930587602693574106708760777759738', '8501497159083948713316135768103773293754490207922884688769443031624417212426', '58798923314292213706108095296759377158063350000880445982478753522386393910973', '24221075307909515058128508361760815750282387436356014865592674691483694461969', '15941169207766483447414689399123153340714132932920187738030167528134553690538', '11132544244839265378732084165256379227175677028258955804895976429843086532411', '25278203744387812899124275390231185456556099568030662759416378508669843578064', '15259165871229852751200435300818137708137521879433768140385527359205238190748', '90569793661122047965833919029207576106438967399281290092305159739755001779370', '38865160872087583243794602687549037944320211100215064558528112785440843307932', '3842963720267267286970642336860752782302644680156535061700039388405652129691', '86693363790696751339816050278877877262171227813296099717106615959022457093170', '53718143507722222025482708105484979770434331532873527434664602715154372949986', '92388629082681805622801622703528982922543286352927708208755887536971583436902', '91863162118308663069733924043159186005106558783397508844234610341221325526200', '7226328177805702284817831455077713195078779803101002290052645015901358643638', '66537772931762876120767156840228558556719267427800281171125874580115174588329', '15235916682414645873512796594946768179124144849305245659656321561016071235505', '52764520351434119047034479962184961804730800614485355573059721230866709386316', '102538487491850424790591550212489110219679828851969333270010095726524412529367', '31447096058423995793999681020101652299482077992431382315957978631568557785867', '71552623345730992280501476931299615437386807576519105089437764117985071980606', '8441400852834915183759801017793514978104486628517653995211751018945988243154', '24327803960645909378149041810697343640752122608192367041827900158592826352552', '109032054135515324372392914003878608801870315631474102526082551908911817990775', '108999723207897941876452935557011604067917389120996960199512481363958770540884', '108052633825118494550832240247980096965299835115818656939682823516952479310001', '86488478623677188352872801318507143761188967461168408688159600382919967378486', '43321630833125241017427912676100747595457556487829359498141771278458547970943', '72596226888468860072947736803305608840998059909337538782899398935621495931307', '19180751334892649957685662514970856594118361572000181281162861811532650604260', '98165997526504155072211489624964995141099749875757338865080345428663813769275', '50939339576833016698573110949129257192038949921900247130555235008970489450900', '47029152085101973226255505664149277121974669906212969183902148537312535402801', '7935869750973568991063634796432742901043529564448603464914559127943627115874', '38577956202894813911522423295759441226459985692799781876715891336671282746369', '31239779091556707685216681559343622450417987997527657281659332570836878668226', '90686053465094516567817655386166124897542061605406870889450915471482281028605', '25154489359138656189676305295740648019872226167505418084009121941823239444658', '82901799715930045311809212542225092826839455972178920747166234033810084508110', '26608800110066527607246656145735191327716408714826934367635297922290688100618', '63761293627321054794056701530662561252253979399794304476663814039986928052742', '83552904656813968939383082097054433404653657244784709614448703928529504455469', '63603874958591978684257718702104189214159397118281244112857573557732401361881', '16759809660065614657316136762877254422251604138946045908613588571784925013992', '103705222348348023632358209307161171933864556870678885035120650593331360918837', '2067891916326150127826753884863730268931932594834881748788499812590988545417', '3464795463763108108909057219187376740735691886447931192725079515654033695019', '96777037696114848391766419517574922007344115888940813113872692623013070089375', '40635745065483171354210492699079862696789237657248181561502664751201684944045', '53831553061883006530739877284105938919721408776239639687877978808906551086026', '66322896688384299574504337711710693470719761654756732668481875262656827467708', '69497259499564904327437411778598106057943098225196700538590387556685558432215', '96229871085374132303116376471322311695842738677806841162553339355812305824040', '26340281514116361739177694696142465392610507254614159065410861117730143622187', '88275040060084773376557187972215267513049848642895776801789297917961077894224', '47055352475798285920984907840917431698812931301054546103955312973973172985230', '18819282518983024340055565234868223423589909363920183730949900798929318964595', '57509386515638203409676353122070128915263312270689905975542272900147217912507', '109289569086508934142323222102974769075074494425163878721602922903101062859033', '14642427631762357507939608294887050551300827907746951519205602696553287464979', '6902174611736159145776657108337759402988986526678504248271295670198397738390', '114381589136409215143279241982285449157407779193398667940575043679964367420662', '52705106051566244437658292370413853752794057706127643251503682370430544706216', '64533579809297525579033609963634939501013332859992608996100633472507000251907', '77445434236199640828285894610915168465113925137412738738677921101339333881186', '13087547955543223651509733304346768461677455960394532927963165254525635891443', '113257680533063586788985346494216055424581457988687762525815116425152066513696', '66044657638810295187363565799805709250672136616354369296323178255753996444656', '75867234020825117418759000472224519020903108606866514485106629712144722268410', '7257011479626409922035368873631229141341263144294525166015954883117981789975', '94521268801533640253484626268475643884882213091508756864952897781498391313602', '70584222105672215743914509614198676449757016746323593572033490884974443841053', '38746974225100760605049476871091018825176822620072388068043468416649080453478', '98306811672124660042942012455036608757069915973874452428896679210519367135070', '75467129615908319583031474642658885479135630431889036121812713428992454630178', '44305836174662659056360031599221289950024907383706896555756948878751959775782', '21820831062008538748141247411218227574369608245896609859008771625480147552641', '107108677406570769174644732556082858255108204503861334566787299375848455720534', '22044237409105221636413433388486939192566265748724879342425449645290826575226', '56204317272716953593028494650753841280461771658055690484625859869098941695564', '72122482770569588499506755542531317316214547923366033552728295449545343415738', '32439658626108300652372328806838350715850208072865588198812909765816440362394', '59907179569997946463321791544687853782150511917273237807748943734723860599962', '21695138873211375451055566770107682325494206727818897067665810321709249824909', '65651447697756505945607381171434271908621057725573696706081861343152172944468', '74580890713477889155778397033413604695248820561928419929239929602538131402272', '44827572479353518081244438746113968420401867280288091969239280589388541478697', '22255463452594162709449800579658835371746668793825841462318307382376621533755', '17516427576383382756368467656206258206490015951115433065318503962238754362428', '8585617872562550075367684165842985213222082790621129799520234539666057750015', '109223657334725476924710634471321315385389367621714474291402615707818729630121', '42278252558046940014991595990628759801692726198478046188873057685686228021663', '2942567299640587090091139148545794488615196042290090815333947905974415750919', '46975241878566226675389813084558441099978633579735672808077735156890286559886']
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
2026-02-25 17:31:55 | DEBUG    | MainApp | Unhandled Tick: book
